pH, temp, EC
1.42,22.69,0.00
1.38,22.69,0.00
1.54,22.69,0.00
1.46,22.69,0.00
1.54,22.69,0.00
1.50,22.69,0.00
1.66,22.69,0.00
1.46,22.69,0.00
1.58,22.69,0.00
1.50,22.69,0.00
1.50,22.69,0.00
1.58,22.69,0.00
1.54,22.69,102.00
1.42,22.69,0.00
1.74,22.69,0.00
1.18,22.69,0.00
1.54,22.69,68.00
1.54,22.69,0.00
1.38,22.69,0.00
1.58,22.69,0.00
1.46,22.69,0.00
1.34,22.69,0.00
1.62,22.69,0.00
1.58,22.69,0.00
1.34,22.69,34.00
1.46,22.69,0.00
1.62,22.69,0.00
1.50,22.69,0.00
1.42,22.69,0.00
1.34,22.69,0.00
1.50,22.69,0.00
1.38,22.69,0.00
1.50,22.62,0.00
1.26,22.69,0.00
1.58,22.62,0.00
1.46,22.69,0.00
1.34,22.69,0.00
1.54,22.69,0.00
1.50,22.62,0.00
1.46,22.69,0.00
1.50,22.69,0.00
1.50,22.69,0.00
1.38,22.62,0.00
1.30,22.69,0.00
1.82,22.69,0.00
1.58,22.62,0.00
1.50,22.62,0.00
1.50,22.69,0.00
1.50,22.62,0.00
1.22,22.62,0.00
1.42,22.62,34.00
1.58,22.62,34.00
1.46,22.69,0.00
1.46,22.69,0.00
1.38,22.69,0.00
1.50,22.62,0.00
1.34,22.69,0.00
1.58,22.62,0.00
1.38,22.62,0.00
1.42,22.69,0.00
1.26,22.62,0.00
1.38,22.62,0.00
1.62,22.62,0.00
1.46,22.62,0.00
1.14,22.62,0.00
1.30,22.62,0.00
1.14,22.62,0.00
1.38,22.62,0.00
1.54,22.62,0.00
1.30,22.62,0.00
1.22,22.62,0.00
1.38,22.62,0.00
1.34,22.62,0.00
1.46,22.62,0.00
1.50,22.62,0.00
1.26,22.62,0.00
1.50,22.62,0.00
1.42,22.62,0.00
1.30,22.62,0.00
1.30,22.62,0.00
1.42,22.62,0.00
1.46,22.62,0.00
1.38,22.62,0.00
1.22,22.62,0.00
1.50,22.62,0.00
1.58,22.62,0.00
1.42,22.62,0.00
1.38,22.56,34.00
1.42,22.62,0.00
1.42,22.62,0.00
1.38,22.56,0.00
1.38,22.56,0.00
1.38,22.56,68.00
1.30,22.62,0.00
1.50,22.56,0.00
1.54,22.56,34.00
1.38,22.56,0.00
1.70,22.56,0.00
1.42,22.56,0.00
1.22,22.56,34.00
1.14,22.56,68.00
1.18,22.62,0.00
1.34,22.62,0.00
1.30,22.62,0.00
1.50,22.56,102.00
1.42,22.56,0.00
1.30,22.56,0.00
1.34,22.56,0.00
1.34,22.56,0.00
1.34,22.56,0.00
1.34,22.62,34.00
1.54,22.56,102.00
1.26,22.56,0.00
1.42,22.56,0.00
1.10,22.56,34.00
1.50,22.56,68.00
1.22,22.62,102.00
1.34,22.56,0.00
1.46,22.56,0.00
1.38,22.56,0.00
1.38,22.56,0.00
1.30,22.56,0.00
1.30,22.56,0.00
1.38,22.56,0.00
1.34,22.56,0.00
1.30,22.56,0.00
1.42,22.56,0.00
1.26,22.56,0.00
1.26,22.56,0.00
1.38,22.56,0.00
1.34,22.56,34.00
1.26,22.56,0.00
1.30,22.56,0.00
1.50,22.56,0.00
1.46,22.50,68.00
1.42,22.56,0.00
1.14,22.50,34.00
1.14,22.56,0.00
1.46,22.56,0.00
1.18,22.50,0.00
1.46,22.50,0.00
1.34,22.50,34.00
1.38,22.50,102.00
1.22,22.56,0.00
1.18,22.50,0.00
1.26,22.50,0.00
1.42,22.50,0.00
1.34,22.50,0.00
1.46,22.50,0.00
1.22,22.50,34.00
1.46,22.50,0.00
1.42,22.50,102.00
1.30,22.50,0.00
1.46,22.50,0.00
1.46,22.50,0.00
1.34,22.50,68.00
1.30,22.50,102.00
1.34,22.50,0.00
1.30,22.50,68.00
1.34,22.50,34.00
1.46,22.50,0.00
1.34,22.50,68.00
1.18,22.50,0.00
1.30,22.50,34.00
1.46,22.50,0.00
1.42,22.50,34.00
1.26,22.50,0.00
1.38,22.50,0.00
1.14,22.50,0.00
1.30,22.50,68.00
1.30,22.50,0.00
1.30,22.50,0.00
1.14,22.50,68.00
1.26,22.50,34.00
1.18,22.50,0.00
1.06,22.50,34.00
1.50,22.50,0.00
1.38,22.50,0.00
1.30,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.26,22.50,0.00
1.26,22.50,0.00
1.38,22.50,0.00
1.26,22.50,0.00
1.46,22.50,0.00
1.34,22.50,0.00
1.26,22.50,0.00
1.42,22.50,0.00
1.26,22.50,102.00
1.18,22.50,0.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.10,22.50,0.00
1.26,22.50,0.00
1.22,22.50,0.00
1.18,22.50,0.00
1.46,22.50,0.00
1.22,22.50,34.00
1.26,22.50,0.00
1.30,22.50,0.00
1.38,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.10,22.50,0.00
1.26,22.50,0.00
1.18,22.50,34.00
1.30,22.50,0.00
1.30,22.50,0.00
1.14,22.50,0.00
1.38,22.50,34.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.14,22.50,34.00
1.22,22.50,0.00
1.18,22.50,0.00
1.42,22.50,0.00
1.42,22.50,0.00
1.22,22.50,0.00
1.30,22.50,0.00
1.30,22.50,0.00
1.34,22.50,34.00
1.26,22.50,0.00
1.42,22.50,34.00
1.22,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.14,22.50,0.00
1.34,22.50,34.00
1.38,22.50,0.00
1.02,22.50,0.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.34,22.50,68.00
1.30,22.50,0.00
1.38,22.50,0.00
1.18,22.50,0.00
1.38,22.50,0.00
1.18,22.50,0.00
1.02,22.50,0.00
1.30,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.46,22.50,0.00
1.38,22.44,102.00
1.22,22.44,102.00
1.14,22.44,0.00
1.46,22.50,0.00
1.14,22.44,0.00
1.18,22.44,0.00
1.38,22.44,0.00
1.06,22.44,0.00
1.18,22.44,34.00
1.26,22.44,0.00
1.22,22.44,68.00
1.14,22.44,0.00
1.26,22.44,0.00
1.30,22.44,0.00
1.02,22.44,0.00
1.14,22.44,0.00
1.30,22.44,0.00
1.10,22.44,102.00
1.22,22.44,34.00
1.18,22.44,0.00
1.42,22.44,0.00
1.26,22.44,34.00
1.14,22.44,0.00
1.38,22.44,0.00
1.22,22.44,0.00
1.30,22.44,0.00
1.30,22.44,0.00
1.42,22.44,0.00
1.14,22.44,0.00
1.38,22.44,0.00
1.06,22.44,0.00
1.22,22.44,34.00
1.26,22.44,102.00
1.46,22.44,0.00
1.42,22.44,68.00
1.02,22.44,0.00
1.26,22.44,0.00
1.18,22.44,0.00
1.14,22.44,0.00
1.06,22.44,0.00
1.06,22.44,0.00
1.50,22.44,0.00
1.26,22.44,102.00
1.38,22.44,0.00
1.22,22.44,0.00
1.34,22.44,0.00
1.26,22.44,0.00
1.26,22.44,0.00
1.18,22.44,34.00
1.22,22.44,0.00
1.30,22.44,0.00
1.26,22.44,0.00
1.10,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
1.26,22.44,0.00
1.42,22.44,34.00
1.10,22.44,0.00
1.42,22.44,0.00
1.18,22.44,68.00
1.26,22.44,102.00
1.34,22.44,34.00
1.14,22.44,0.00
1.30,22.44,0.00
1.14,22.44,0.00
1.18,22.44,0.00
1.26,22.44,0.00
1.06,22.44,0.00
1.26,22.44,0.00
1.30,22.44,0.00
1.34,22.50,34.00
1.42,22.44,34.00
1.34,22.44,0.00
1.18,22.44,0.00
1.18,22.44,34.00
1.14,22.44,0.00
1.26,22.44,0.00
1.10,22.44,34.00
1.14,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
1.10,22.44,0.00
1.42,22.37,0.00
0.98,22.31,0.00
1.22,22.25,0.00
1.34,22.25,0.00
1.34,22.25,0.00
1.22,22.31,0.00
1.18,22.31,0.00
1.30,22.31,0.00
1.50,22.31,0.00
0.98,22.37,68.00
1.22,22.37,0.00
1.06,22.37,0.00
1.06,22.37,0.00
1.26,22.37,0.00
1.10,22.37,0.00
1.18,22.37,34.00
1.34,22.37,0.00
1.26,22.37,0.00
1.30,22.37,0.00
1.06,22.37,0.00
1.06,22.44,0.00
1.34,22.44,0.00
1.06,22.44,0.00
1.50,22.44,0.00
1.18,22.44,0.00
1.02,22.44,0.00
1.34,22.44,68.00
1.18,22.44,0.00
1.30,22.44,0.00
1.06,22.44,0.00
1.06,22.44,34.00
1.18,22.44,0.00
1.22,22.44,0.00
1.18,22.44,0.00
1.26,22.44,0.00
1.14,22.44,0.00
1.82,22.44,0.00
1.62,22.44,0.00
2.38,22.44,0.00
2.22,22.44,34.00
2.34,22.44,0.00
2.38,22.44,0.00
2.46,22.44,0.00
2.74,22.44,0.00
1.90,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
0.94,22.44,0.00
1.26,22.44,0.00
1.10,22.44,0.00
1.06,22.44,0.00
1.38,22.44,0.00
1.14,22.44,0.00
